,YEAR_MONTH,MATERIAL_CODE,SUM(A.SALES_QTY_TOT),SUM(SALES_VALUE_TOT)
,2020-01,00000471100063410300,36.8,1181280
,2020-01,00000451100032400700,174.97,6622280.3
,2019-11,00000451900020400701,4.21,157875
,2020-01,00000451900025330201,361.48,13526969
,2020-01,00000471100045600200,38.55,1645918.2
,2019-12,00000171100065400330,94.49,3371221
,2019-12,00000000000612350100,331.9,10355005.8
,2019-12,00000451100032409900,69.76,2297540.6
,2020-01,00000451100036050100,31.2,1018680
,2019-12,00000471104605400326,30.9,1196602.5
,2020-01,00000461800007301601,93.34,3453676
,2019-11,00000171407777350100,61.46,2108078
,2019-12,00000161200012800103,3.97,149669
,2019-12,00000000000615401000,85.68,2596104
,2019-11,00000171100065400300,63.09,2122347.6
,2019-12,00000461800008501501,75.18,2774142
,2019-11,00000171100090400500,25.06,927220
,2020-02,00000151200032810500,314.99,13508367.8
,2020-02,00000161200008800301,19671.22,794549064.1
,2020-02,00000171409090210100,2250.08,81197432.15
,2020-02,00000000000611100716,1638.14,52204235
,2020-02,00000000000006311301,16242.65,284886747.5
,2020-02,00000000000006219103,665.24,4646930
,2020-02,00000000000006321306,1119.02,5492297.6
,2020-02,00000000000614400200,1359.84,39784316
,2020-02,00000171100075330200,434.33,15199899.2
,2020-02,00000161200010800303,204.88,8462385.09
,2020-02,00000471100068330200,181.11,6499267.6
,2020-01,00000461800008501601,249.29,9231208.7
,2020-02,00000171406565020000,10.88,277440
,2020-02,00000451103305330200,368.91,13681270.6
,2020-02,00000171100080330200,358.98,13556511.35
,2020-02,00000451100030400700,45.98,1888346.7
,2020-02,00000171407777400300,1120.24,42886560
,2020-02,00000000000614100716,1406.69,43694480.6
,2020-02,00000451100025400300,457.29,17755944.9
,2020-02,00000461800012330201,1068.89,40851165
,2020-02,00000461800008301201,270.27,10310368.5
,2020-02,00000461800008530101,223.21,8881255.2
,2020-01,00000000000614050016,86.49,2992554
,2020-01,00000171409090410300,126.12,4753689.8
,2020-02,00000151200025810500,923.31,38949286.45
,2020-03,00000151200025800300,14256.85,565445184.5
,2020-02,00000451100042400300,63.07,2552195.5
,2020-02,00000000000614301200,277.62,9438845.4
,2020-02,00000000000006321307,91.14,250635
,2020-02,00000451100032400700,68.06,2725002
,2020-02,00000461800008501501,305.7,12091081.48
,2020-03,00000471100050600200,105.66,4410359.25
,2020-03,00000171409090400300,405.45,15544647.9
,2020-01,00000471100063610300,156.9,5933958
,2020-01,00000981305006130200,307.57,12493493.4
,2020-01,00000151200036800305,62.26,1730828
,2020-02,00000171309006130200,235.94,8858251
,2020-02,00000000000006211902,62.56,2503440
,2020-03,00000461800007520101,62.43,2640789
,2020-03,00000161200012810502,467.73,19603391.66
,2020-02,00000000000613400400,174.83,7244746.7
,2020-03,00000000000006211411,1539.4,36329840
,2020-03,00000000000006211900,538.76,23766120
,2020-03,00000169900000999999,56.65,1010045
,2020-02,00000461800000030010,107.48,2939284
,2020-02,00000451100040400700,6.6,258720
,2020-02,00000000000611100416,222.68,7092358
,2020-01,00000171100050330300,33.32,1064574
,2020-02,00000451100028130200,0.95,34960
,2020-01,00000171409090100500,238.88,7713480
,2020-02,00000171407575020000,62.37,1780736.5
,2020-02,00000981200012800300,783.94,31290728
,2020-02,00000171409090400300,379.01,14640694.9
,2020-03,00000461800007520501,473.09,18474881.15
,2020-03,00000451900028330201,50.55,1893527.7
,2020-03,00000171409090700100,126.46,4846698
,2020-02,00000000000006411800,198.44,8628123
,2020-01,00000000000611100516,698.12,19337924
,2020-02,00000471100056301500,68.91,2665210.2
,2020-02,00000000000615401100,199.68,5620992
,2020-03,00000461800010400301,63.05,2476803
,2020-01,00000461800008530101,673.82,25214029
,2020-02,00000171612565130205,709.91,26680486
,2020-04,00000161200012800301,2396.78,95690020.38
,2020-04,00000000000613100500,93.52,2627912
